school,73.22997283935547,34.18026351928711,4065
school,73.227783203125,34.18436813354492,4065
school,73.2275161743164,34.184207916259766,4065
school,73.2191390991211,34.155975341796875,4065
school,73.22571563720703,34.175846099853516,4065
school,73.22866821289062,34.190311431884766,4065
school,73.22724914550781,34.197731018066406,4065
school,73.22686004638672,34.195587158203125,4065
school,73.22721099853516,34.16582489013672,4065
school,73.21770127009488,34.14433436127493,2053
school,73.21943226307502,34.14697968399897,16694
school,73.2312247093635,34.189869081723394,48014
school,73.22418433275597,34.17268501256609,1125
school,73.22743201428389,34.196044436168236,7665
school,73.22697246986587,34.1970221735292,21474
school,73.23026501790056,34.19705499023206,7519
school,73.2315596985982,34.197274636876564,1512
school,73.2412931882889,34.223692699779214,72471
school,73.22331193589989,34.173255006556175,125
school,73.21518337958173,34.14717270883361,4744
school,73.2363232379962,34.20253285228097,6596
school,73.23671782933664,34.20549197857777,4594
school,73.22318236878756,34.16716343786786,2148
school,73.21465200259217,34.14293901646873,1268
school,73.20681766596834,34.150143227151226,7374
school,73.20564737792148,34.15083161452081,6001
school,73.21149292332282,34.14418784028789,1420
school,73.21323756942809,34.14546370856132,2135
school,73.2111256963913,34.14762193004092,1405
school,73.22450719112801,34.17069209990175,249
school,73.2222647837673,34.155297284054996,1299
school,73.23113834342057,34.18999945826369,646
school,73.23111564571562,34.18926105377467,632
school,73.24312064158013,34.198999224316985,3445
school,73.23961967294302,34.187977243859365,4043
school,73.24317604433988,34.1991964969803,227
school,73.24025207990063,34.187979358300915,173
school,73.23936121132175,34.18826581649918,133
school,73.23970883936067,34.188294413736266,221
school,73.24192588375448,34.223467991046114,317
school,73.24201424302365,34.22399467268014,626
school,73.21985165199249,34.14718787656312,3272
school,73.22308664853877,34.16714262576205,231
school,73.22264565646365,34.167424632505394,180
school,73.22449652639199,34.172742950036266,222
school,73.22884654716721,34.197430362186346,2367
school,73.22211695646968,34.15545649079684,312
school,73.20658629876449,34.150354521598075,400
school,73.20567157649984,34.151304633053684,405
school,73.20651205569779,34.15089654113591,190
school,73.21719109451979,34.14587759526431,3244
school,73.21726971200047,34.14592170120878,318
school,73.21765299293956,34.145846193398896,78
school,73.21680498924654,34.14636767276485,466
school,73.21714322269055,34.145049734810634,323
school,73.21478632183275,34.14701397321056,139
school,73.21509048573144,34.1465385984248,118
school,73.21544685439996,34.146646994318345,75
school,73.21488825385555,34.14660689674837,197
school,73.21525756875303,34.14653767330984,191
school,73.21335495956112,34.14568917105225,204
school,73.21359717373271,34.1452332792567,201
school,73.21149987473947,34.14439698736659,193
school,73.22626263642188,34.17373576450013,1179
school,73.22636023450724,34.17369880333168,804
school,73.23185556631915,34.17922313188338,2184
school,73.23167945603525,34.179156218874546,951
school,73.23986960541434,34.156628683631894,1519
school,73.24707325517825,34.15909131135008,4926
school,73.2356396176573,34.19979609851333,1920
school,73.21235658256951,34.14280884124926,1459
school,73.22728141946126,34.16577865646206,1518
school,73.22723382049465,34.16573166608588,2032
