park,73.01734807918922,33.68486425455278,1578
park,73.01763754350017,33.684482352724,603
park,73.0197046783259,33.686246979777316,3082
park,73.01044124348552,33.67306517086416,1979
park,73.01362026500908,33.67076485415236,2521
park,73.01213372941345,33.672369256263984,3953
park,73.01281863181076,33.67453394587192,651
park,73.02098995179868,33.680206104530036,4160
park,73.02224119164885,33.67973875458219,920
park,73.02354462309614,33.67904173099721,1575
park,73.02541867912855,33.67631248797531,5218
park,73.01965690184066,33.68319506699539,4207
park,73.0172793018607,33.68260020889244,519
park,73.00520574736879,33.678335273203096,2537
park,73.00581056415825,33.68123916748598,2665
park,73.00863049840711,33.675150949423276,1214
park,73.01517865000001,33.67583155,1646
park,73.0131873600514,33.68208200964311,4592
leisure,73.01763431423201,33.67254557623842,357
leisure,73.01786729520133,33.672672488361336,325
leisure,73.01876344028129,33.67292250105188,3652
park,73.01617247368767,33.66985197947603,1587
park,73.01670985072735,33.67044082507834,557
park,73.01705129127097,33.670002607030284,534
leisure,73.0146105,33.67603405,84
park,73.01505222560735,33.67937318632099,2255
